ImageId,EncodedPixels
c472a7c4b06821e7c82aaa1205578a03126be62eb3b30516aeb2c120a7f4d006,27 10 283 11 539 11 795 11 1052 11 1308 10 1564 10 1821 9 2077 8 2334 5 2591 2
c472a7c4b06821e7c82aaa1205578a03126be62eb3b30516aeb2c120a7f4d006,39 14 296 13 552 13 808 13 1065 12 1322 11 1579 10 1836 8 2094 5
c472a7c4b06821e7c82aaa1205578a03126be62eb3b30516aeb2c120a7f4d006,85 8 340 10 596 10 852 10 1108 10 1364 9 1621 8 1878 5
c472a7c4b06821e7c82aaa1205578a03126be62eb3b30516aeb2c120a7f4d006,135 21 388 24 643 25 898 26 1154 25 1410 25 1666 25 1922 24 2178 23 2434 22 2690 15 2707 5 2946 14 3202 13 3459 10 3715 9 3972 5 4229 2
c472a7c4b06821e7c82aaa1205578a03126be62eb3b30516aeb2c120a7f4d006,167 11 423 11 678 12 934 12 1189 12 1445 12 1701 11 1957 10 2213 9 2469 8 2725 6 2982 4
c472a7c4b06821e7c82aaa1205578a03126be62eb3b30516aeb2c120a7f4d006,185 7 441 7 697 8 952 9 1208 9 1464 9 1720 8 1977 6 2234 3
c472a7c4b06821e7c82aaa1205578a03126be62eb3b30516aeb2c120a7f4d006,225 25 481 27 509 1 511 1 737 32 994 31 1250 31 1506 31 1762 31 2018 31 2274 31 2530 30 2786 29 3047 23 3317 8 3574 7 3831 5 4087 4 4344 2
c472a7c4b06821e7c82aaa1205578a03126be62eb3b30516aeb2c120a7f4d006,1810 1 2065 3 2321 4 2568 3 2577 4 2823 5 2833 5 3078 7 3089 5 3334 8 3345 5 3590 8 3601 6 3845 9 3857 6 4101 9 4113 7 4123 1 4357 9 4369 13 4612 10 4625 14 4868 11 4880 15 5124 28 5380 28 5636 28 5892 29 6148 29 6404 29 6660 11 6672 18 6917 10 6929 17 7173 10 7185 17 7429 9 7442 16 7686 8 7699 15 7942 8 7956 4 7961 8 8198 8 8219 5 8455 7 8477 2 8711 7 8969 4
c472a7c4b06821e7c82aaa1205578a03126be62eb3b30516aeb2c120a7f4d006,2129 3 2383 8 2633 2 2638 11 2888 18 3144 18 3399 20 3655 21 3911 22 4167 22 4423 23 4679 23 4935 23 5191 22 5447 8 5456 12 5704 6 5713 10 5960 5 5970 8 6216 5 6226 7 6472 5 6484 4 6729 4 6986 2
c472a7c4b06821e7c82aaa1205578a03126be62eb3b30516aeb2c120a7f4d006,4013 2 4267 5 4522 7 4777 9 5031 11 5286 12 5541 13 5797 13 6053 13 6309 12 6565 12 6821 11 7078 10 7335 8 7592 6 7850 2
c472a7c4b06821e7c82aaa1205578a03126be62eb3b30516aeb2c120a7f4d006,4056 3 4311 5 4567 7 4823 7 5079 8 5335 9 5591 9 5847 10 6103 10 6359 10 6616 9 6872 9 7128 9 7385 8 7641 8 7898 6 8156 3
c472a7c4b06821e7c82aaa1205578a03126be62eb3b30516aeb2c120a7f4d006,5311 2 5566 4 5821 6 6077 6 6332 7 6588 8 6843 9 7099 9 7354 10 7610 10 7866 9 8121 10 8377 9 8634 8 8890 8 9147 6 9403 6 9660 4
c472a7c4b06821e7c82aaa1205578a03126be62eb3b30516aeb2c120a7f4d006,7624 1 7879 4 8135 4 8390 5 8646 6 8902 6 9158 6 9414 7 9670 7 9926 7 10182 7 10437 8 10693 8 10949 8 11205 8 11461 8 11716 9 11972 9 12228 8 12484 8 12740 8 12996 8 13252 7 13508 7 13764 7 14020 7 14276 6 14533 5 14789 5 15045 5 15301 4 15557 4
c472a7c4b06821e7c82aaa1205578a03126be62eb3b30516aeb2c120a7f4d006,9347 5 9602 8 9857 9 10112 11 10368 11 10623 12 10879 12 11135 12 11390 12 11646 12 11902 12 12158 11 12414 10 12671 8 12927 7 13184 5
c472a7c4b06821e7c82aaa1205578a03126be62eb3b30516aeb2c120a7f4d006,9721 1 9974 6 10222 14 10474 19 10729 20 10984 20 11240 20 11497 19 11753 18 12011 16 12268 14 12526 12 12783 10 13041 7
