ImageId,EncodedPixels
259b35151d4a7a5ffdd7ab7f171b142db8cfe40beeee67277fac6adca4d042c4,243 1
259b35151d4a7a5ffdd7ab7f171b142db8cfe40beeee67277fac6adca4d042c4,248 28 761 27 1272 28 1778 3 1784 28 2287 37 2797 38 3308 37 3820 36 4331 35 4844 32 5363 12 5376 9 5879 1 5881 2 5889 4
259b35151d4a7a5ffdd7ab7f171b142db8cfe40beeee67277fac6adca4d042c4,2772 4 3284 5 3795 8 4307 9 4819 9 5332 9 5836 4 5843 12 6346 8 6355 15 6856 28 7368 29 7878 32 8387 3 8391 1 8393 30 8897 6 8904 1 8906 30 9408 9 9418 30 9920 40 10431 41 10942 43 11453 38 11492 1 11496 1 11964 39 12008 10 12476 40 12522 8 12987 42 13036 3 13040 1 13499 43 14012 41 14524 42 15037 40 15550 38 16063 36 16576 26 16605 6 17088 26 17120 1 17601 25 18114 24 18626 24 19138 25 19651 26 20163 27 20676 29 21188 33 21701 33 22213 34 22726 33 23238 32 23751 30 24265 21 24779 17 25292 15 25806 12 26322 7
259b35151d4a7a5ffdd7ab7f171b142db8cfe40beeee67277fac6adca4d042c4,18495 5 19006 8 19517 8 20029 9 20539 9 21050 1 21052 1 21054 5 21064 5 21560 6 21576 6 22070 7 22082 1 22086 9 22582 7 22593 14 23094 7 23104 16 23606 7 23614 18 24118 27 24631 26 25144 25 25658 23 26168 25 26672 33 27182 35 27693 36 28203 38 28714 39 29226 38 29737 39 30249 38 30760 39 31272 38 31784 37 32296 36 32808 35 33320 35 33832 34 34344 33 34856 31 35369 29 35881 27 36394 24 36907 20 37420 18 37933 14 38447 10
259b35151d4a7a5ffdd7ab7f171b142db8cfe40beeee67277fac6adca4d042c4,24398 3 24909 3 25421 2
259b35151d4a7a5ffdd7ab7f171b142db8cfe40beeee67277fac6adca4d042c4,26860 7 27368 17 27879 20 28388 25 28423 10 28897 31 28929 19 29408 54 29919 7 29927 49 30430 7 30442 3 30446 1 30448 42 30941 6 30963 40 31452 6 31476 39 31963 6 31974 3 31988 1 31990 37 32472 9 32485 5 32499 41 32983 1 32985 47 33033 19 33496 68 34008 69 34519 70 35031 71 35542 72 36054 73 36562 1 36564 30 36596 1 36598 43 37069 37 37111 44 37580 39 37624 44 38092 40 38137 44 38604 41 38650 43 39116 41 39162 43 39628 41 39675 43 40140 41 40188 41 40652 40 40700 41 41164 40 41212 38 41676 42 41720 1 41724 1 41726 1 41728 29 42188 49 42241 28 42700 49 42753 27 43213 79 43725 78 44238 77 44752 75 45265 73 45778 72 46291 71 46803 12 46818 56 47316 12 47331 55 47830 69 48343 64 48408 1 48856 61 48920 2 49369 60 49882 58 50395 54 50908 50 51421 47 51936 6 51943 1 51945 32 52459 28 52975 22 53490 15 54005 8 54519 3
259b35151d4a7a5ffdd7ab7f171b142db8cfe40beeee67277fac6adca4d042c4,29339 5 29850 7 30362 10 30873 19 31384 21 31896 22 32407 23 32919 24 33431 24 33943 26 34455 33 34967 34 35478 36 35989 38 36499 41 37010 42 37521 44 38033 11 38047 30 38545 9 38560 29 39058 6 39072 29 39570 4 39584 29 40096 28 40606 7 40621 15 41115 11 41134 14 41626 13 41646 14 42138 15 42154 1 42158 15 42174 1 42649 38 43161 39 43673 40 44186 39 44699 38 45212 37 45724 37 46238 35 46749 36 47261 36 47774 35 48287 34 48784 7 48800 33 49294 11 49313 32 49804 14 49826 30 50317 14 50338 30 50828 17 50849 20 50875 4 51341 19 51361 20 51387 3 51854 39 52366 38 52879 6 52886 30 53392 4 53398 10 53411 16 53904 4 53910 9 53925 14 54422 9 54438 13 54934 7 54953 10 55447 5 55468 8 55959 4 55981 7 56472 1 56474 1 56494 6 57007 3
259b35151d4a7a5ffdd7ab7f171b142db8cfe40beeee67277fac6adca4d042c4,32979 3 33491 2
259b35151d4a7a5ffdd7ab7f171b142db8cfe40beeee67277fac6adca4d042c4,34650 3 35161 5 35672 6 36184 6 36697 5 37209 5 37722 4
259b35151d4a7a5ffdd7ab7f171b142db8cfe40beeee67277fac6adca4d042c4,43059 4 43572 3
